package,target,generated,shortfall,attempts,acceptance_rate_percent,target_percentage,actual_percentage,difference_percentage_points
x731,2913,0,2913,50000,0.0,58.26,0,-58.26
G731ST-HT,595,0,595,50000,0.0,11.899999999999999,0,-11.899999999999999
G731ST-LT,595,0,595,50000,0.0,11.899999999999999,0,-11.899999999999999
G731CA,291,0,291,50000,0.0,5.82,0,-5.82
F731TE,218,0,218,50000,0.0,4.36,0,-4.36
F731PW,121,0,121,0,0.0,2.42,0,-2.42
F731WD_DualChannel,121,0,121,0,0.0,2.42,0,-2.42
F731WD_SingleChannel,97,0,97,0,0.0,1.94,0,-1.94
G731VG,49,0,49,0,0.0,0.98,0,-0.98
