canonical_configuration_id,row_count,unique_technical_signatures,unique_package_contexts,identity_status
CFG731_0a7ae0b09d2ef809,1,1,1,UNIQUE_ROW
CFG731_0aa987e1ae960c88,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_0acb7cb21878d0cf,1,1,1,UNIQUE_ROW
CFG731_0adf2e67687ef664,1,1,1,UNIQUE_ROW
CFG731_0b076e2e26216ca2,1,1,1,UNIQUE_ROW
CFG731_0b15d7aa4956a8df,1,1,1,UNIQUE_ROW
CFG731_0b2f7a45dffefd5b,6,1,1,EXACT_DUPLICATE_ROWS
CFG731_0b33555ff08fcd28,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_0bb185f546403346,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0bb38b2038fb1e69,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0bc45368878bdc1d,1,1,1,UNIQUE_ROW
CFG731_0bc69513c30c3b9d,1,1,1,UNIQUE_ROW
CFG731_0bc9c3b6375d4380,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_0be1e83a71642630,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0be7d6198235486b,12,1,1,EXACT_DUPLICATE_ROWS
CFG731_0c05dd0ad4f3894a,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_0c11243388e65244,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_0c3b33750ffab3ac,9,1,1,EXACT_DUPLICATE_ROWS
CFG731_0c4fdcb4a6049841,1,1,1,UNIQUE_ROW
CFG731_0c5cd97f5c20149b,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0c61f0d97e912f12,1,1,1,UNIQUE_ROW
CFG731_0ccac09f5dbb32fb,1,1,1,UNIQUE_ROW
CFG731_0ce13abf777d04f9,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_0cf73cced42104be,1,1,1,UNIQUE_ROW
CFG731_0d3b04d12b4208a2,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_0d6df01ace2df68d,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0d749d07dfcd6370,1,1,1,UNIQUE_ROW
CFG731_0d8116f4900c6919,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_0db950a4979d2c52,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0dc23d4863b02213,1,1,1,UNIQUE_ROW
CFG731_0dd81a588b2a1411,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0de2f6a333d94863,1,1,1,UNIQUE_ROW
CFG731_0e0f01b5586b92da,6,1,1,EXACT_DUPLICATE_ROWS
CFG731_0e146b48e4ed8b98,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_0e3baae8e946721c,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_0e65994bfbb04e39,1,1,1,UNIQUE_ROW
CFG731_0e66481554d1173f,1,1,1,UNIQUE_ROW
CFG731_0ec9bdeb15079e1b,1,1,1,UNIQUE_ROW
CFG731_0ed9dfc7367bb0a0,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_0ee5d1627cfddbbd,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_0ef26d136a7182e8,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_0f0d5e28351801c5,1,1,1,UNIQUE_ROW
CFG731_0f31eb11cbf67a82,1,1,1,UNIQUE_ROW
CFG731_0f905a88815805fa,1,1,1,UNIQUE_ROW
CFG731_0fbee36816b7af98,6,1,1,EXACT_DUPLICATE_ROWS
CFG731_0fdf5c36c9c41e69,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_10085782ed0991cf,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_105efa7b55d5b559,1,1,1,UNIQUE_ROW
CFG731_1060da033d1aaed1,10,1,1,EXACT_DUPLICATE_ROWS
CFG731_10829a99d0812ab9,1,1,1,UNIQUE_ROW
CFG731_10dc89dcc8388903,1,1,1,UNIQUE_ROW
CFG731_10ddc0a4eaffecd3,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_10e74d757a2fa2a6,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_1123bef3c890d293,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_1138f8ea5fc95654,1,1,1,UNIQUE_ROW
CFG731_1147f9711c4bff84,7,1,1,EXACT_DUPLICATE_ROWS
CFG731_117f19eb2913314e,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_11a99741e1f7cce9,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_11c93eca01984a14,9,1,1,EXACT_DUPLICATE_ROWS
CFG731_11da8cc369b71f5a,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_11e2e85a554f19ad,1,1,1,UNIQUE_ROW
CFG731_12089d5d54f581ac,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_122577678a9fbaa5,1,1,1,UNIQUE_ROW
CFG731_1227ff79768e5ea4,1,1,1,UNIQUE_ROW
CFG731_1243cfc726284db9,1,1,1,UNIQUE_ROW
CFG731_12b0a7f4abb14e7e,1,1,1,UNIQUE_ROW
CFG731_12d9cb8d41e8f486,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1314a5f6e906af63,1,1,1,UNIQUE_ROW
CFG731_134ecd7b8190bed1,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_135ddf5639321fb6,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_138c3af793fa9c6a,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_139763631a5cfb1c,1,1,1,UNIQUE_ROW
CFG731_13c137be155b0bd9,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_13c87640928bf666,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_140a9819128d92da,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_141d6b58a722961b,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_14235f3888d71408,5,1,1,EXACT_DUPLICATE_ROWS
CFG731_14269a1a57ac4cbc,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_14299a2a74e42d7f,3,1,1,EXACT_DUPLICATE_ROWS
CFG731_142da525ddb90041,1,1,1,UNIQUE_ROW
CFG731_143205a81a2e7efc,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_1434e7eedafa69d1,4,1,1,EXACT_DUPLICATE_ROWS
CFG731_147ff4a19b4bcc48,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1490cd30a236283e,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_14b9d068df675bfb,1,1,1,UNIQUE_ROW
CFG731_14ec1773441318c2,2,1,1,EXACT_DUPLICATE_ROWS
CFG731_1509c3729def0e7e,1,1,1,UNIQUE_ROW
CFG731_1515931f201451d5,1,1,1,UNIQUE_ROW
CFG731_152dc9cd63e126ba,1,1,1,UNIQUE_ROW
CFG731_159f3a6877b5a5d2,1,1,1,UNIQUE_ROW
