canonical_configuration_id,row_count,duplicate_rows
CFG731_5dd35c89836ec88e,6,5
CFG731_9228cc48e333917c,6,5
CFG731_671960d0fb04b698,6,5
CFG731_edf13ed38a4b54de,6,5
CFG731_8216f56c8f1b8479,6,5
CFG731_7986bd8f29a06f04,6,5
CFG731_0e0f01b5586b92da,6,5
CFG731_ec26805bdf93259f,6,5
CFG731_b3d0283738532d82,6,5
CFG731_5164655533c6a8d0,6,5
CFG731_8b8ba7e2341f1295,6,5
CFG731_9fd2ebe15271fc33,6,5
CFG731_d3d0547b464f691d,6,5
CFG731_2683cf7e09782f5e,6,5
CFG731_0fbee36816b7af98,6,5
CFG731_3a824c7e49bfd8f4,6,5
CFG731_56ccaebbaa08bd29,6,5
CFG731_9c6b16fef6d02aaf,6,5
CFG731_a92ad5294d9187e9,6,5
CFG731_b1cb604b4f0bb460,6,5
CFG731_917fc613cc9bf56a,6,5
CFG731_ad0a2fd7350b6cca,6,5
CFG731_9e44a82e6c1db982,6,5
CFG731_6472ab3bf7316498,6,5
CFG731_4c72f78c1186e8f7,6,5
CFG731_ef4cf0e053e2d332,6,5
CFG731_e0009be417f51ccd,6,5
CFG731_86a2340212c01d2a,6,5
CFG731_cc47430fac8438be,6,5
CFG731_1962af6277da6f54,6,5
CFG731_090330aa38b8e80b,6,5
CFG731_59f86789e43d86f1,6,5
CFG731_f23946dbf617272b,6,5
CFG731_9ccdadb28a07accd,6,5
CFG731_4aa7d46b9cfa7d7b,5,4
CFG731_91e51485b56960b2,5,4
CFG731_b3ed2928d6d65710,5,4
CFG731_3b2a32abbf148ca1,5,4
CFG731_219ac3d01befd6d1,5,4
CFG731_fe9a409c6b2ba9cc,5,4
CFG731_e2d64e127f97296d,5,4
CFG731_7c78a4beb9b12eb2,5,4
CFG731_7c70763d4cf79560,5,4
CFG731_6526112621a9ee97,5,4
CFG731_c11c5ee5deff9a1e,5,4
CFG731_8d07e19298d09d34,5,4
CFG731_b3506a753aafcfa3,5,4
CFG731_b265e25b7baf721d,5,4
CFG731_0fdf5c36c9c41e69,5,4
CFG731_77a90bfd81b5c2c1,5,4
CFG731_140a9819128d92da,5,4
