characteristic_a,characteristic_b,explosionApproval,certification,count,percentage,stromEingaenge,temperaturEingaenge,stromSchaltbar,housing,powerSupply,numberOfChannels,dataInterface,binaerDigitalOpenColl_MN,binaerOpenColl_MP
stromSchaltbar,stromEingaenge,,,114,10.795454545454545,NOVALUE,,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,stromEingaenge,,,76,7.196969696969697,"in {NOVALUE, 'IS1'}",,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,stromEingaenge,,,5,0.4734848484848485,NOVALUE,,"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",,,,,,
stromSchaltbar,stromEingaenge,,,48,4.545454545454546,IS1,,"in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,stromEingaenge,,,81,7.670454545454546,NOVALUE,,"in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,stromEingaenge,,,48,4.545454545454546,"in {'IS1', 'IS2'}",,"in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,stromEingaenge,,,76,7.196969696969697,"in {NOVALUE, 'IS1', 'IS2'}",,"in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,stromEingaenge,,,76,7.196969696969697,"in {NOVALUE, 'IS1'}",,"in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,stromEingaenge,,,48,4.545454545454546,"in {'IS1', 'IS2', 'IS3'}",,"in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,stromEingaenge,,,24,2.272727272727273,"in {'IS1', 'IS2'}",,"in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,stromEingaenge,,,76,7.196969696969697,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",,"in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,stromEingaenge,,,38,3.5984848484848486,"in {NOVALUE, 'IS1', 'IS2'}",,"in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,1,0.0946969696969697,,"in {NOVALUE, 'TT1'}",CS1,,,,,,
stromSchaltbar,temperaturEingaenge,,,8,0.7575757575757576,,NOVALUE,CS2,,,,,,
stromSchaltbar,temperaturEingaenge,,,9,0.8522727272727272,,TT1,CS2,,,,,,
stromSchaltbar,temperaturEingaenge,,,8,0.7575757575757576,,"in {'TT1', 'TT2'}",CS2,,,,,,
stromSchaltbar,temperaturEingaenge,,,4,0.3787878787878788,,"in {'TT2', 'TT4'}",CS2,,,,,,
stromSchaltbar,temperaturEingaenge,,,1,0.0946969696969697,,"in {NOVALUE, 'TT1'}",CS2,,,,,,
stromSchaltbar,temperaturEingaenge,,,84,7.954545454545454,,NOVALUE,NOVALUE,,,,,,
stromSchaltbar,temperaturEingaenge,,,28,2.6515151515151514,,TT1,NOVALUE,,,,,,
stromSchaltbar,temperaturEingaenge,,,5,0.4734848484848485,,TT2,NOVALUE,,,,,,
stromSchaltbar,temperaturEingaenge,,,4,0.3787878787878788,,"in {'TT1', 'TT2'}",NOVALUE,,,,,,
stromSchaltbar,temperaturEingaenge,,,5,0.4734848484848485,,"in {'TT2', 'TT4'}",NOVALUE,,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,"in {NOVALUE, 'TT1'}",NOVALUE,,,,,,
stromSchaltbar,temperaturEingaenge,,,5,0.4734848484848485,,NOVALUE,"in {'CS1', 'CS2', 'CS4'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,5,0.4734848484848485,,NOVALUE,"in {'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,2,0.1893939393939394,,NOVALUE,"in {'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,1,0.0946969696969697,,TT1,"in {'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,4,0.3787878787878788,,TT2,"in {'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,4,0.3787878787878788,,"in {'TT2', 'TT4'}","in {'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,2,0.1893939393939394,,NOVALUE,"in {'CS2', 'CS4'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,4,0.3787878787878788,,TT2,"in {'CS2', 'CS4'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,NOVALUE,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,"in {NOVALUE, 'TT1', 'TT2'}","in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,24,2.272727272727273,,TT1,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,24,2.272727272727273,,"in {'TT1', 'TT2', 'TT3'}","in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}","in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}","in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,76,7.196969696969697,,"in {NOVALUE, 'TT1', 'TT2'}","in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,"in {NOVALUE, 'TT1'}","in {NOVALUE, 'CS1', 'CS2', 'CS3'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,5,0.4734848484848485,,NOVALUE,"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,5,0.4734848484848485,,NOVALUE,"in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,48,4.545454545454546,,"in {'TT1', 'TT2', 'TT3'}","in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,48,4.545454545454546,,"in {'TT1', 'TT2'}","in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,76,7.196969696969697,,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}","in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,76,7.196969696969697,,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}","in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,76,7.196969696969697,,"in {NOVALUE, 'TT1', 'TT2'}","in {NOVALUE, 'CS1', 'CS2'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,48,4.545454545454546,,TT1,"in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,24,2.272727272727273,,"in {'TT1', 'TT2'}","in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,38,3.5984848484848486,,"in {NOVALUE, 'TT1', 'TT2'}","in {NOVALUE, 'CS1'}",,,,,,
stromSchaltbar,temperaturEingaenge,,,76,7.196969696969697,,"in {NOVALUE, 'TT1'}","in {NOVALUE, 'CS1'}",,,,,,
housing,powerSupply,,,290,27.46212121212121,,,,ST,4,,,,
housing,powerSupply,,,10,0.946969696969697,,,,"in {'ST', 'AL'}",1,,,,
housing,powerSupply,,,756,71.5909090909091,,,,"in {'ST', 'AL'}","in {'1', '4'}",,,,
numberOfChannels,temperaturEingaenge,,,8,0.7575757575757576,,NOVALUE,,,,1,,,
numberOfChannels,temperaturEingaenge,,,12,1.1363636363636365,,TT1,,,,1,,,
numberOfChannels,temperaturEingaenge,,,13,1.231060606060606,,TT2,,,,1,,,
numberOfChannels,temperaturEingaenge,,,33,3.125,,NOVALUE,,,,2,,,
numberOfChannels,temperaturEingaenge,,,2,0.1893939393939394,,TT1,,,,2,,,
numberOfChannels,temperaturEingaenge,,,12,1.1363636363636365,,"in {'TT1', 'TT2'}",,,,2,,,
numberOfChannels,temperaturEingaenge,,,13,1.231060606060606,,"in {'TT2', 'TT4'}",,,,2,,,
numberOfChannels,temperaturEingaenge,,,21,1.9886363636363635,,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",,,,2,,,
numberOfChannels,temperaturEingaenge,,,21,1.9886363636363635,,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}",,,,2,,,
numberOfChannels,temperaturEingaenge,,,42,3.977272727272727,,"in {NOVALUE, 'TT1', 'TT2'}",,,,2,,,
numberOfChannels,temperaturEingaenge,,,30,2.840909090909091,,"in {NOVALUE, 'TT1'}",,,,2,,,
numberOfChannels,temperaturEingaenge,,,113,10.700757575757576,,NOVALUE,,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,96,9.090909090909092,,TT1,,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,72,6.8181818181818175,,"in {'TT1', 'TT2', 'TT3'}",,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,72,6.8181818181818175,,"in {'TT1', 'TT2'}",,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,93,8.806818181818182,,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,93,8.806818181818182,,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}",,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,186,17.613636363636363,,"in {NOVALUE, 'TT1', 'TT2'}",,,,"in {1, 2}",,,
numberOfChannels,temperaturEingaenge,,,124,11.742424242424242,,"in {NOVALUE, 'TT1'}",,,,"in {1, 2}",,,
dataInterface,certification,,CN,4,0.3787878787878788,,,,,,,HS,,
dataInterface,certification,,MN,80,7.575757575757576,,,,,,,HS,,
dataInterface,certification,,NN,53,5.018939393939394,,,,,,,HS,,
dataInterface,certification,,"in {'NN', 'FN'}",12,1.1363636363636365,,,,,,,HS,,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",46,4.356060606060606,,,,,,,HS,,
dataInterface,certification,,"in {'NN', 'WN'}",84,7.954545454545454,,,,,,,HS,,
dataInterface,certification,,MN,36,3.4090909090909087,,,,,,,NN,,
dataInterface,certification,,NN,24,2.272727272727273,,,,,,,NN,,
dataInterface,certification,,"in {'NN', 'WN'}",100,9.469696969696969,,,,,,,NN,,
dataInterface,certification,,"in {'NN', 'WN'}",4,0.3787878787878788,,,,,,,"in {'MR', 'BM', 'FF', 'PA', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN'}",4,0.3787878787878788,,,,,,,"in {'MR', 'BM', 'FF', 'PA'}",,
dataInterface,certification,,NN,3,0.2840909090909091,,,,,,,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'BM', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",2,0.1893939393939394,,,,,,,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",2,0.1893939393939394,,,,,,,"in {'MT', 'BT'}",,
dataInterface,certification,,NN,1,0.0946969696969697,,,,,,,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",,
dataInterface,certification,,NN,1,0.0946969696969697,,,,,,,"in {'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",,
dataInterface,certification,,"in {'NN', 'WN'}",4,0.3787878787878788,,,,,,,"in {'NN', 'MR', 'BM', 'FF', 'PA', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN'}",4,0.3787878787878788,,,,,,,"in {'NN', 'MR', 'BM', 'FF', 'PA'}",,
dataInterface,certification,,NN,2,0.1893939393939394,,,,,,,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'BM'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",2,0.1893939393939394,,,,,,,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM'}",,
dataInterface,certification,,MN,45,4.261363636363636,,,,,,,"in {'NN', 'MT', 'BT'}",,
dataInterface,certification,,NN,29,2.746212121212121,,,,,,,"in {'NN', 'MT', 'BT'}",,
dataInterface,certification,,"in {'NN', 'FN'}",6,0.5681818181818182,,,,,,,"in {'NN', 'MT', 'BT'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",50,4.734848484848484,,,,,,,"in {'NN', 'MT', 'BT'}",,
dataInterface,certification,,NN,1,0.0946969696969697,,,,,,,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA', 'HS'}",,
dataInterface,certification,,NN,1,0.0946969696969697,,,,,,,"in {'NN', 'MT', 'MR', 'BM', 'BT', 'FF', 'PA'}",,
dataInterface,certification,,NN,2,0.1893939393939394,,,,,,,"in {'NN', 'MT', 'MR'}",,
dataInterface,certification,,MN,9,0.8522727272727272,,,,,,,"in {'NN', 'MT'}",,
dataInterface,certification,,NN,3,0.2840909090909091,,,,,,,"in {'NN', 'MT'}",,
dataInterface,certification,,"in {'NN', 'FN'}",6,0.5681818181818182,,,,,,,"in {'NN', 'MT'}",,
dataInterface,certification,,NN,2,0.1893939393939394,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",,
dataInterface,certification,,"in {'NN', 'WN'}",4,0.3787878787878788,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",,
dataInterface,certification,,MN,68,6.4393939393939394,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",,
dataInterface,certification,,NN,52,4.924242424242424,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",,
dataInterface,certification,,"in {'NN', 'FN'}",8,0.7575757575757576,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",,
dataInterface,certification,,"in {'NN', 'WN'}",132,12.5,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",2,0.1893939393939394,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",,
dataInterface,certification,,MN,32,3.0303030303030303,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",,
dataInterface,certification,,"in {'NN', 'WN', 'FN'}",64,6.0606060606060606,,,,,,,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",,
dataInterface,certification,,MN,20,1.893939393939394,,,,,,,"in {'NN', 'PA', 'MR', 'FF'}",,
dataInterface,certification,,NN,20,1.893939393939394,,,,,,,"in {'NN', 'PA', 'MR', 'FF'}",,
dataInterface,certification,,"in {'NN', 'FN'}",8,0.7575757575757576,,,,,,,"in {'NN', 'PA', 'MR', 'FF'}",,
dataInterface,certification,,CN,4,0.3787878787878788,,,,,,,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",,
