mode,package_aware,rfqs_evaluated,top1_accuracy,top3_accuracy,top5_accuracy,top10_accuracy,mrr,mean_true_rank,median_true_rank,unranked
V8_EXTRACTED,False,5000,0.508,0.5506,0.5792,0.6276,0.5761754656765855,25.73975194450284,1.0,243
V8_EXTRACTED,True,5000,0.5106,0.5526,0.5814,0.6296,0.5764947011147133,26.30450261780105,1.0,225
ORACLE,False,5000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
ORACLE,True,5000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
