target_package,rfq_count,matching_configuration_rows,matching_unique_configuration_ids
x731,2952,2913,1549
G731ST-LT,601,595,153
G731ST-HT,552,595,151
G731CA,295,291,48
F731TE,222,218,30
F731WD_DualChannel,122,121,19
F731PW,116,121,15
F731WD_SingleChannel,105,97,10
G731VG,35,49,4
