rfq_id,candidate_count,top_score,top_mandatory_coverage,top_preferred_coverage,top_overall_coverage,top_exact_count,top_contradiction_count,top_novalue_count,true_rank,mode,package_aware
RFQ731-000260,2913,23.948652268062375,0.8083692525813411,1.0,0.9333333333333333,14,1,0,7,V8_EXTRACTED,True
RFQ731-000261,2913,38.62326304073307,0.9402447980290684,1.0,0.9375,15,1,0,8,V8_EXTRACTED,True
RFQ731-000262,2913,35.75111227305929,1.0,1.0,1.0,12,0,0,4,V8_EXTRACTED,True
RFQ731-000263,595,33.06664476639324,0.8382179494077018,1.0,0.8823529411764706,15,1,1,7,V8_EXTRACTED,True
RFQ731-000264,2913,33.31686433197176,0.9284793045764452,1.0,0.9230769230769231,12,1,0,193,V8_EXTRACTED,True
RFQ731-000265,595,39.64221339736506,1.0,1.0,1.0,15,0,0,19,V8_EXTRACTED,True
RFQ731-000266,2913,23.489688100373648,0.7846557182879581,1.0,0.8666666666666667,13,2,0,37,V8_EXTRACTED,True
RFQ731-000267,2913,21.913759010212978,0.7947951933321677,1.0,0.9230769230769231,12,1,0,16,V8_EXTRACTED,True
RFQ731-000268,2913,36.48144848171619,1.0,1.0,1.0,14,0,0,4,V8_EXTRACTED,True
RFQ731-000269,2913,19.865815317014597,0.7587645974621615,1.0,0.875,14,2,0,4,V8_EXTRACTED,True
RFQ731-000270,121,47.89760501454676,0.9158460407877024,1.0,0.8666666666666667,13,0,2,1,V8_EXTRACTED,True
RFQ731-000271,121,16.991498488097143,0.6110589301982369,1.0,0.8181818181818182,9,1,1,79,V8_EXTRACTED,True
RFQ731-000272,2913,26.96522198447429,0.8260144488704579,1.0,0.9230769230769231,12,1,0,196,V8_EXTRACTED,True
RFQ731-000273,2913,21.56426812131056,0.7094426138903664,1.0,0.8125,13,2,1,298,V8_EXTRACTED,True
RFQ731-000274,2913,22.190416598584385,0.7324771766773354,1.0,0.8666666666666667,13,1,1,18,V8_EXTRACTED,True
RFQ731-000275,121,48.35016554391384,1.0,1.0,1.0,12,0,0,1,V8_EXTRACTED,True
RFQ731-000276,595,36.50072038925002,1.0,1.0,1.0,13,0,0,3,V8_EXTRACTED,True
RFQ731-000277,2913,27.58939628613789,0.7877902138821145,1.0,0.875,14,1,1,7,V8_EXTRACTED,True
RFQ731-000278,2913,37.58759525994117,0.8442550313766036,1.0,0.8823529411764706,15,1,1,5,V8_EXTRACTED,True
RFQ731-000279,2913,25.688167627402684,0.8188371817632051,1.0,0.9333333333333333,14,1,0,1,V8_EXTRACTED,True
RFQ731-000280,595,31.43910817274627,0.7244920681751988,1.0,0.8666666666666667,13,0,2,83,V8_EXTRACTED,True
RFQ731-000281,218,40.7232553046303,0.9458255626319444,1.0,0.9230769230769231,12,1,0,1,V8_EXTRACTED,True
