characteristic,true_positives,false_positives,false_negatives,precision,recall,f1
devCategory,3967,866,1033,0.8208152286364577,0.7934,0.80687480931557
characteristic,1731,3104,3269,0.3580144777662875,0.3462,0.35200813421453986
housing,4049,0,951,1.0,0.8098,0.8949055144214829
powerSupply,3245,0,1755,1.0,0.649,0.7871437234687689
numberOfChannels,4056,0,944,1.0,0.8112,0.8957597173144877
explosionApproval,1570,0,3430,1.0,0.314,0.4779299847792998
protectionArea,0,0,5000,0.0,0.0,0.0
certification,0,0,5000,0.0,0.0,0.0
dataInterface,2921,81,2079,0.9730179880079947,0.5842,0.7300674831292178
stromSchaltbar,2563,251,494,0.9108031272210376,0.8384036637226039,0.8731050928291603
stromEingaenge,0,0,2886,0.0,0.0,0.0
temperaturEingaenge,3044,786,222,0.7947780678851175,0.9320269442743417,0.8579481397970687
binaerDigitalOpenColl_MN,0,0,2150,0.0,0.0,0.0
binaerOpenColl_MP,0,953,1950,0.0,0.0,0.0
waveInjector,0,0,3504,0.0,0.0,0.0
dev_advMeterVerification,1396,0,1999,1.0,0.41119293078055963,0.5827593404299729
dynamicGasMaster,545,0,515,1.0,0.5141509433962265,0.6791277258566979
customUserFluid,0,0,3057,0.0,0.0,0.0
steamApplication,0,0,1153,0.0,0.0,0.0
