evidence_level,rfq_count,exact_top1_accuracy,mandatory_top1_accuracy,mandatory_preferred_top1_accuracy,mean_valid_configurations,median_valid_configurations
LOW,631,0.17274167987321712,1.0,1.0,23.480190174326466,17.0
MODERATE,1176,0.3741496598639456,1.0,1.0,15.335034013605442,10.0
OBSERVED,1673,0.7603108188882247,1.0,1.0,8.277943813508667,4.0
STRONG,58,0.5862068965517241,1.0,1.0,17.137931034482758,11.0
VERY_STRONG,1462,0.46101231190150477,1.0,1.0,16.54924760601915,11.0
