evidence_level,rfq_count,exact_top1_accuracy,mandatory_equivalent_top1,mandatory_preferred_equivalent_top1,mean_valid_configurations,median_valid_configurations
LOW,631,0.17274167987321712,1.0,1.0,23.527733755942947,17.0
MODERATE,1176,0.3741496598639456,1.0,1.0,15.380952380952381,10.0
OBSERVED,1673,0.7603108188882247,1.0,1.0,8.596533173939031,4.0
STRONG,58,0.5862068965517241,1.0,1.0,17.275862068965516,11.0
VERY_STRONG,1462,0.46101231190150477,1.0,1.0,16.84610123119015,11.0
