package,target,generated,observed,derived,distance_1,distance_2,actual_percentage
F731PW,121,121,96,25,22,3,2.42
F731TE,218,218,143,75,75,0,4.36
F731WD_DualChannel,121,121,76,45,45,0,2.42
F731WD_SingleChannel,97,97,76,21,21,0,1.94
G731CA,291,291,159,132,132,0,5.82
G731ST-HT,595,595,250,345,320,25,11.899999999999999
G731ST-LT,595,595,227,368,335,33,11.899999999999999
G731VG,49,49,49,0,0,0,0.98
x731,2913,2913,614,2299,1579,720,58.26
