packageFixed_dev,count,percentage
"in {NOVALUE, 'x731'}",696,65.9090909090909
"in {NOVALUE, 'G731ST-LT'}",133,12.594696969696969
"in {NOVALUE, 'G731ST-HT'}",133,12.594696969696969
"in {NOVALUE, 'F731TE'}",26,2.462121212121212
"in {NOVALUE, 'G731CA'}",24,2.272727272727273
"in {NOVALUE, 'F731PW'}",20,1.893939393939394
"in {NOVALUE, 'F731WD_DualChannel'}",12,1.1363636363636365
"in {NOVALUE, 'F731WD_SingleChannel'}",8,0.7575757575757576
"in {NOVALUE, 'G731VG'}",4,0.3787878787878788
