alternative_count_bucket,rfq_count,exact_top1_accuracy,mandatory_top1_accuracy,mandatory_preferred_top1_accuracy,mean_valid_configurations,median_valid_configurations,rfq_share
1,351,1.0,1.0,1.0,1.0,1.0,0.0702
2-5,1433,0.6873691556175855,1.0,1.0,3.275645498953245,3.0,0.2866
6-10,1037,0.4725168756027001,1.0,1.0,7.74059787849566,8.0,0.2074
11-50,1974,0.32776089159067884,1.0,1.0,21.631712259371835,19.0,0.3948
51-100,169,0.28402366863905326,1.0,1.0,65.40236686390533,62.0,0.0338
101-500,36,0.2222222222222222,1.0,1.0,140.61111111111111,118.0,0.0072
