mode,package_aware,target_package,rfqs,top1,top3,top5,top10,MRR,mean_rank,median_rank
ORACLE,False,F731PW,116,0.9310344827586207,0.9655172413793104,1.0,1.0,0.9494252873563218,1.206896551724138,1.0
ORACLE,False,F731TE,222,0.7747747747747747,1.0,1.0,1.0,0.8873873873873874,1.2252252252252251,1.0
ORACLE,False,F731WD_DualChannel,122,0.7131147540983607,0.9016393442622951,0.9672131147540983,0.9754098360655737,0.8265727896875438,1.7459016393442623,1.0
ORACLE,False,F731WD_SingleChannel,105,0.6952380952380952,0.8380952380952381,0.9428571428571428,1.0,0.8023809523809524,1.7428571428571429,1.0
ORACLE,False,G731CA,295,0.8542372881355932,0.888135593220339,1.0,1.0,0.8931073446327683,1.4508474576271186,1.0
ORACLE,False,G731ST-HT,552,0.391304347826087,0.7028985507246377,0.8659420289855072,0.9547101449275363,0.5753613571631058,3.5543478260869565,2.0
ORACLE,False,G731ST-LT,601,0.47420965058236275,0.7304492512479202,0.848585690515807,0.9201331114808652,0.6228792292238673,3.9217970049916806,2.0
ORACLE,False,G731VG,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ORACLE,False,x731,2952,0.4407181571815718,0.714769647696477,0.8224932249322493,0.9363143631436315,0.604062315623695,3.444105691056911,2.0
ORACLE,True,F731PW,116,0.9310344827586207,0.9655172413793104,1.0,1.0,0.9494252873563218,1.206896551724138,1.0
ORACLE,True,F731TE,222,0.7747747747747747,1.0,1.0,1.0,0.8873873873873874,1.2252252252252251,1.0
ORACLE,True,F731WD_DualChannel,122,0.7131147540983607,0.9016393442622951,0.9672131147540983,0.9754098360655737,0.8265727896875438,1.7459016393442623,1.0
ORACLE,True,F731WD_SingleChannel,105,0.6952380952380952,0.8380952380952381,0.9428571428571428,1.0,0.8023809523809524,1.7428571428571429,1.0
ORACLE,True,G731CA,295,0.8542372881355932,0.888135593220339,1.0,1.0,0.8931073446327683,1.4508474576271186,1.0
ORACLE,True,G731ST-HT,552,0.391304347826087,0.7028985507246377,0.8659420289855072,0.9547101449275363,0.5753613571631058,3.5543478260869565,2.0
ORACLE,True,G731ST-LT,601,0.47420965058236275,0.7304492512479202,0.848585690515807,0.9201331114808652,0.6228792292238673,3.9217970049916806,2.0
ORACLE,True,G731VG,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ORACLE,True,x731,2952,0.4407181571815718,0.714769647696477,0.8224932249322493,0.9363143631436315,0.604062315623695,3.444105691056911,2.0
V8_EXTRACTED,False,F731PW,116,0.3706896551724138,0.4482758620689655,0.4482758620689655,0.5431034482758621,0.42405947554116014,386.3534482758621,6.0
V8_EXTRACTED,False,F731TE,222,0.3108108108108108,0.545045045045045,0.5855855855855856,0.6801801801801802,0.4482583515561716,51.14414414414414,3.0
V8_EXTRACTED,False,F731WD_DualChannel,122,0.5409836065573771,0.8360655737704918,0.9508196721311475,0.9508196721311475,0.7050476845558813,2.6475409836065573,1.0
V8_EXTRACTED,False,F731WD_SingleChannel,105,0.4380952380952381,0.6952380952380952,0.8571428571428571,0.8761904761904762,0.5970695970695971,3.5714285714285716,2.0
V8_EXTRACTED,False,G731CA,295,0.2847457627118644,0.3864406779661017,0.48135593220338985,0.5728813559322034,0.3745308496603205,74.35932203389831,6.0
V8_EXTRACTED,False,G731ST-HT,552,0.20652173913043478,0.375,0.45108695652173914,0.5579710144927537,0.3258798871859524,29.38768115942029,8.0
V8_EXTRACTED,False,G731ST-LT,601,0.21797004991680533,0.3627287853577371,0.4242928452579035,0.5174708818635607,0.3206855813582598,39.34276206322795,10.0
V8_EXTRACTED,False,G731VG,35,0.6857142857142857,0.8,0.9714285714285714,0.9714285714285714,0.786734693877551,2.4,1.0
V8_EXTRACTED,False,x731,2952,0.138550135501355,0.27235772357723576,0.34417344173441733,0.46375338753387535,0.2463431201555815,48.862127371273715,12.0
V8_EXTRACTED,True,F731PW,116,0.3706896551724138,0.45689655172413796,0.4827586206896552,0.6379310344827587,0.4419882523544707,26.07758620689655,6.0
V8_EXTRACTED,True,F731TE,222,0.3108108108108108,0.5540540540540541,0.5945945945945946,0.6981981981981982,0.45409605503036327,22.193693693693692,3.0
V8_EXTRACTED,True,F731WD_DualChannel,122,0.5409836065573771,0.8360655737704918,0.9508196721311475,0.9508196721311475,0.7050476845558813,2.6475409836065573,1.0
V8_EXTRACTED,True,F731WD_SingleChannel,105,0.4380952380952381,0.6952380952380952,0.8571428571428571,0.8761904761904762,0.5970695970695971,3.5714285714285716,2.0
V8_EXTRACTED,True,G731CA,295,0.31864406779661014,0.423728813559322,0.5389830508474577,0.6169491525423729,0.4113702687395023,30.976271186440677,5.0
V8_EXTRACTED,True,G731ST-HT,552,0.20652173913043478,0.375,0.45108695652173914,0.5579710144927537,0.32592637809446595,28.61413043478261,8.0
V8_EXTRACTED,True,G731ST-LT,601,0.21963394342762063,0.36772046589018303,0.4292845257903494,0.5241264559068219,0.325167537953506,28.42595673876872,9.0
V8_EXTRACTED,True,G731VG,35,0.6857142857142857,0.8,0.9714285714285714,0.9714285714285714,0.786734693877551,2.4,1.0
V8_EXTRACTED,True,x731,2952,0.138550135501355,0.27235772357723576,0.34417344173441733,0.46375338753387535,0.24635267556861723,48.62262872628726,12.0
