alternative_count_bucket,rfq_count,rfq_share,exact_top1_accuracy,mandatory_equivalent_top1,mandatory_preferred_equivalent_top1,mean_valid_configuration_count
1,346,0.0692,1.0,1.0,1.0,1.0
2-5,1413,0.2826,0.6914366595895258,1.0,1.0,3.290870488322718
6-10,1041,0.2082,0.473583093179635,1.0,1.0,7.737752161383285
11-50,1989,0.3978,0.3283056812468577,1.0,1.0,21.708898944193063
51-100,173,0.0346,0.2947976878612717,1.0,1.0,65.81502890173411
101-500,38,0.0076,0.23684210526315788,1.0,1.0,140.28947368421052
