characteristic_a,characteristic_b,package,package_sample_size,conditional_mutual_information,global_mutual_information
explosionApproval,protectionArea,"in {NOVALUE, 'x731'}",696,0.9182958340544893,0.9085336377223228
explosionApproval,protectionArea,"in {NOVALUE, 'F731TE'}",26,0.8904916402194916,0.9085336377223228
explosionApproval,protectionArea,"in {NOVALUE, 'G731CA'}",24,0.8112781244591329,0.9085336377223228
explosionApproval,protectionArea,"in {NOVALUE, 'G731ST-LT'}",133,0.8631205685666312,0.9085336377223228
explosionApproval,protectionArea,"in {NOVALUE, 'G731ST-HT'}",133,0.8631205685666312,0.9085336377223228
explosionApproval,certification,"in {NOVALUE, 'x731'}",696,1.0895337977838941,1.2350153026194586
explosionApproval,certification,"in {NOVALUE, 'F731TE'}",26,1.5262349099495225,1.2350153026194586
explosionApproval,certification,"in {NOVALUE, 'G731CA'}",24,1.5,1.2350153026194586
explosionApproval,certification,"in {NOVALUE, 'G731ST-LT'}",133,1.3787834934861756,1.2350153026194586
explosionApproval,certification,"in {NOVALUE, 'G731ST-HT'}",133,1.3787834934861756,1.2350153026194586
explosionApproval,certification,"in {NOVALUE, 'F731PW'}",20,0.7219280948873621,1.2350153026194586
explosionApproval,dataInterface,"in {NOVALUE, 'x731'}",696,0.5158613943604755,0.60770086749467
explosionApproval,dataInterface,"in {NOVALUE, 'F731TE'}",26,0.9485599096166812,0.60770086749467
explosionApproval,dataInterface,"in {NOVALUE, 'G731CA'}",24,1.0978548143998657,0.60770086749467
explosionApproval,dataInterface,"in {NOVALUE, 'G731ST-LT'}",133,0.6745438613020294,0.60770086749467
explosionApproval,dataInterface,"in {NOVALUE, 'G731ST-HT'}",133,0.6745438613020294,0.60770086749467
explosionApproval,dataInterface,"in {NOVALUE, 'F731PW'}",20,0.7219280948873621,0.60770086749467
explosionApproval,stromSchaltbar,"in {NOVALUE, 'x731'}",696,-4.440892098500626e-16,0.02550224542154389
explosionApproval,stromSchaltbar,"in {NOVALUE, 'F731TE'}",26,0.01780102730053712,0.02550224542154389
explosionApproval,stromSchaltbar,"in {NOVALUE, 'G731CA'}",24,0.0,0.02550224542154389
explosionApproval,stromSchaltbar,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.02550224542154389
explosionApproval,stromSchaltbar,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.02550224542154389
explosionApproval,stromSchaltbar,"in {NOVALUE, 'F731PW'}",20,0.0,0.02550224542154389
explosionApproval,stromEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.013298884972171798
explosionApproval,stromEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.013298884972171798
explosionApproval,stromEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,2.220446049250313e-16,0.013298884972171798
explosionApproval,stromEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,2.220446049250313e-16,0.013298884972171798
explosionApproval,temperaturEingaenge,"in {NOVALUE, 'x731'}",696,0.0,0.011540164390076768
explosionApproval,temperaturEingaenge,"in {NOVALUE, 'F731TE'}",26,0.0,0.011540164390076768
explosionApproval,temperaturEingaenge,"in {NOVALUE, 'G731CA'}",24,0.0,0.011540164390076768
explosionApproval,temperaturEingaenge,"in {NOVALUE, 'G731ST-LT'}",133,2.220446049250313e-16,0.011540164390076768
explosionApproval,temperaturEingaenge,"in {NOVALUE, 'G731ST-HT'}",133,2.220446049250313e-16,0.011540164390076768
explosionApproval,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.1465354233178191,0.15938817072040656
explosionApproval,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731TE'}",26,0.40746777143542023,0.15938817072040656
explosionApproval,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.42044846313473183,0.15938817072040656
explosionApproval,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,0.12808527889139443,0.15938817072040656
explosionApproval,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,0.12808527889139443,0.15938817072040656
explosionApproval,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731PW'}",20,0.17095059445466854,0.15938817072040656
explosionApproval,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.1465354233178191,0.16477174968068908
explosionApproval,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.26420629790593053,0.16477174968068908
explosionApproval,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.31127812445913294,0.16477174968068908
explosionApproval,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.12808527889139443,0.16477174968068908
explosionApproval,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.12808527889139443,0.16477174968068908
explosionApproval,binaerOpenColl_MP,"in {NOVALUE, 'F731PW'}",20,0.17095059445466831,0.16477174968068908
explosionApproval,waveInjector,"in {NOVALUE, 'x731'}",696,0.0,0.05655644989573272
explosionApproval,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.0,0.01028642052283324
explosionApproval,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0,0.017671752051255485
explosionApproval,customUserFluid,"in {NOVALUE, 'x731'}",696,0.0,0.002558298274732973
protectionArea,certification,"in {NOVALUE, 'x731'}",696,0.5137330863650442,0.6418900085633701
