characteristic_a,characteristic_b,package,package_sample_size,conditional_mutual_information,global_mutual_information
stromEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,4.440892098500626e-16,0.045591450501973
stromEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.0,0.031520414611335035
stromEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'F731WD_DualChannel'}",12,0.12581458369391152,0.031520414611335035
stromEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.0932846232303125,0.031520414611335035
stromEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,4.440892098500626e-16,0.031520414611335035
stromEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,4.440892098500626e-16,0.031520414611335035
stromEingaenge,waveInjector,"in {NOVALUE, 'x731'}",696,0.3183692540329326,0.08707172186628132
stromEingaenge,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.9293636260137184,0.3731454296226122
stromEingaenge,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.2572687659714372,0.1270305073851019
stromEingaenge,customUserFluid,"in {NOVALUE, 'x731'}",696,0.9293636260137184,0.6252235877146917
temperaturEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'x731'}",696,0.0,0.08316652575186056
temperaturEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'F731TE'}",26,0.0,0.08316652575186056
temperaturEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731CA'}",24,0.0,0.08316652575186056
temperaturEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.08316652575186056
temperaturEingaenge,binaerDigitalOpenColl_MN,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.08316652575186056
temperaturEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.0,0.10419646073034139
temperaturEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.0,0.10419646073034139
temperaturEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.0,0.10419646073034139
temperaturEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.0,0.10419646073034139
temperaturEingaenge,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.0,0.10419646073034139
temperaturEingaenge,waveInjector,"in {NOVALUE, 'x731'}",696,0.31836925403293126,0.14354708434296182
temperaturEingaenge,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.9293636260137186,0.36306015881861375
temperaturEingaenge,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.2572687659714368,0.12653675781951446
temperaturEingaenge,customUserFluid,"in {NOVALUE, 'x731'}",696,0.9293636260137186,0.7652054354766347
binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'x731'}",696,0.9798687566511528,0.8457266993965157
binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'F731TE'}",26,0.15462496545057786,0.8457266993965157
binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'G731CA'}",24,0.19087450462110933,0.8457266993965157
binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-LT'}",133,0.9852281360342515,0.8457266993965157
binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'G731ST-HT'}",133,0.9852281360342515,0.8457266993965157
binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'F731PW'}",20,0.9709505944546686,0.8457266993965157
binaerDigitalOpenColl_MN,waveInjector,"in {NOVALUE, 'x731'}",696,0.0,0.07110294754117996
binaerDigitalOpenColl_MN,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.0,0.04165302592548836
binaerDigitalOpenColl_MN,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0,0.03538791979478284
binaerDigitalOpenColl_MN,customUserFluid,"in {NOVALUE, 'x731'}",696,0.0,0.048232763046929916
binaerOpenColl_MP,waveInjector,"in {NOVALUE, 'x731'}",696,0.0,0.10242224649917131
binaerOpenColl_MP,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.0,0.030739762285076466
binaerOpenColl_MP,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.0,0.018278501999753116
binaerOpenColl_MP,customUserFluid,"in {NOVALUE, 'x731'}",696,0.0,0.0755326946924646
waveInjector,dev_advMeterVerification,"in {NOVALUE, 'x731'}",696,0.31836925403293215,0.540261929293289
waveInjector,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.1109562069975103,0.23148244548800267
waveInjector,customUserFluid,"in {NOVALUE, 'x731'}",696,0.31836925403293215,0.04810891515754445
dev_advMeterVerification,dynamicGasMaster,"in {NOVALUE, 'x731'}",696,0.25726876597143744,0.19519749792571883
dev_advMeterVerification,customUserFluid,"in {NOVALUE, 'x731'}",696,0.9293636260137187,0.20544882939374443
dynamicGasMaster,customUserFluid,"in {NOVALUE, 'x731'}",696,0.25726876597143744,0.14244217390969127
