source_row,characteristic,raw_value,rule_type,parsed_values,value_count
1,binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",allowed_values,NOVALUE|MP1|MP2|MP3|MP4,5
1,binaerOpenColl_BC,NOVALUE,novalue,NOVALUE,1
1,binaerOpenColl_SC,NOVALUE,novalue,NOVALUE,1
1,binaerOpenColl30v,NOVALUE,novalue,NOVALUE,1
1,binaerOpenCollExib,NOVALUE,novalue,NOVALUE,1
1,binaerOpenCollNamur,NOVALUE,novalue,NOVALUE,1
1,binaerOptoRelay_BO,NOVALUE,novalue,NOVALUE,1
1,binaerOptoRelay_SO,NOVALUE,novalue,NOVALUE,1
1,binaerReedRelay_BR,NOVALUE,novalue,NOVALUE,1
1,binaerReedRelay_SR,NOVALUE,novalue,NOVALUE,1
1,frequenz0_5khz_FO,NOVALUE,novalue,NOVALUE,1
1,frequenz0_5khz_FC,NOVALUE,novalue,NOVALUE,1
1,frequenz0_5khzNamur,NOVALUE,novalue,NOVALUE,1
1,frequenz5_15HzExia,NOVALUE,novalue,NOVALUE,1
1,spannung0_10v,NOVALUE,novalue,NOVALUE,1
1,spannung0_1v,NOVALUE,novalue,NOVALUE,1
1,stromAktiv,NOVALUE,novalue,NOVALUE,1
1,stromAktiv24,NOVALUE,novalue,NOVALUE,1
1,stromPassiv,NOVALUE,novalue,NOVALUE,1
1,stromPassivExib,NOVALUE,novalue,NOVALUE,1
1,StromPassivExia,NOVALUE,novalue,NOVALUE,1
1,stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",allowed_values,NOVALUE|CS1|CS2|CS3,4
1,binaerEingaenge,NOVALUE,novalue,NOVALUE,1
1,spannungsEingaenge,NOVALUE,novalue,NOVALUE,1
1,stromEingaenge,NOVALUE,novalue,NOVALUE,1
1,stromEingaenge_passiv,NOVALUE,novalue,NOVALUE,1
1,stromEingaengeExia,NOVALUE,novalue,NOVALUE,1
