target_package,rfq_count,exact_top1_accuracy,mandatory_equivalent_top1,mandatory_preferred_equivalent_top1,mean_valid_configurations,median_valid_configurations
F731PW,116,0.9310344827586207,1.0,1.0,3.060344827586207,2.0
F731TE,222,0.7747747747747747,1.0,1.0,2.7882882882882885,2.0
F731WD_DualChannel,122,0.7131147540983607,1.0,1.0,3.7868852459016393,3.0
F731WD_SingleChannel,105,0.6952380952380952,1.0,1.0,3.5428571428571427,2.0
G731CA,295,0.8542372881355932,1.0,1.0,4.111864406779661,2.0
G731ST-HT,552,0.391304347826087,1.0,1.0,11.78623188405797,8.0
G731ST-LT,601,0.47420965058236275,1.0,1.0,13.014975041597339,8.0
G731VG,35,1.0,1.0,1.0,1.5714285714285714,1.0
x731,2952,0.4407181571815718,1.0,1.0,18.815379403794037,12.0
