record_type,evidence_level,generation_method,nearest_real_distance,count
DERIVED,LOW,TWO_CHARACTERISTIC,2,653
DERIVED,MODERATE,TWO_CHARACTERISTIC,1,1052
DERIVED,MODERATE,TWO_CHARACTERISTIC,2,128
DERIVED,STRONG,TWO_CHARACTERISTIC,1,67
DERIVED,VERY_STRONG,DEPENDENCY_TWO_CHARACTERISTIC,1,505
DERIVED,VERY_STRONG,ONE_CHARACTERISTIC,1,905
OBSERVED,OBSERVED,REAL_OBSERVED,0,1690
