record_type,rfq_count,exact_top1_accuracy,mandatory_equivalent_top1,mandatory_preferred_equivalent_top1,mean_valid_configurations,median_valid_configurations
DERIVED,3327,0.37781785392245265,1.0,1.0,17.602945596633603,11.0
OBSERVED,1673,0.7603108188882247,1.0,1.0,8.596533173939031,4.0
