package_context,characteristic,observed_values,observed_value_count,rule_occurrences,source_rows
G731VG,stromEingaenge,IS1|IS2,2,4,4
G731VG,stromEingaengeExia,NOVALUE,1,4,4
G731VG,stromEingaenge_passiv,NOVALUE,1,4,4
G731VG,stromPassiv,NOVALUE,1,4,4
G731VG,stromPassivExib,NOVALUE,1,4,4
G731VG,stromSchaltbar,CS1|CS2|CS3,3,4,4
G731VG,tagPlate,1|NOVALUE,2,4,4
G731VG,temperaturEingaenge,NOVALUE|TT1,2,4,4
G731VG,temperaturEingaengeExi,NOVALUE,1,4,4
G731VG,type,731,1,4,4
G731VG,waveInjector,NOVALUE,1,4,4
x731,OrgUnitAreaOfDocument,0|1|2|3,4,696,696
x731,StromPassivExia,NOVALUE,1,696,696
x731,binaerDigitalOpenCollExia_MA,NOVALUE,1,696,696
x731,binaerDigitalOpenColl_MN,MN1|MN2|MN3|MN4|NOVALUE,5,696,696
x731,binaerDigitalOptoRelay,NOVALUE,1,696,696
x731,binaerDigitalReedRelay,NOVALUE,1,696,696
x731,binaerEingaenge,NOVALUE,1,696,696
x731,binaerOpenColl30v,NOVALUE,1,696,696
x731,binaerOpenCollExib,NOVALUE,1,696,696
x731,binaerOpenCollNamur,NOVALUE,1,696,696
x731,binaerOpenColl_BC,NOVALUE,1,696,696
x731,binaerOpenColl_MP,MP1|MP2|MP3|MP4|NOVALUE,5,696,696
x731,binaerOpenColl_SC,NOVALUE,1,696,696
x731,binaerOptoRelay_BO,NOVALUE,1,696,696
x731,binaerOptoRelay_SO,NOVALUE,1,696,696
x731,binaerReedRelay_BR,NOVALUE,1,696,696
x731,binaerReedRelay_SR,NOVALUE,1,696,696
x731,carryingCase,NOVALUE,1,696,696
x731,certification,FN|MN|NN|WN,4,696,696
x731,characteristic,GP,1,696,696
x731,customUserFluid,1|NOVALUE,2,696,696
x731,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,696,696
x731,devCategory,F|G|H|S,4,696,696
x731,dev_advMeterVerification,1|NOVALUE,2,696,696
x731,dynamicGasMaster,1|NOVALUE,2,696,696
x731,explosionApproval,A|E|F|J|K|N|P|S,8,696,696
x731,frequenz0_5khzNamur,NOVALUE,1,696,696
x731,frequenz0_5khz_FC,NOVALUE,1,696,696
x731,frequenz0_5khz_FO,NOVALUE,1,696,696
x731,frequenz5_15HzExia,NOVALUE,1,696,696
x731,hardwareAP,NOVALUE,1,696,696
x731,housing,AL|ST,2,696,696
x731,inclusiveManual,QI,1,696,696
x731,installationsart,stationaer,1,696,696
x731,intrinsicSafety,N,1,696,696
x731,marke,flexim,1,696,696
x731,measuringTape,NOVALUE,1,696,696
x731,numberOfChannels,1|2,2,696,696
x731,packageFixed_dev,NOVALUE|x731,2,696,696
x731,powerCable,NOVALUE,1,696,696
x731,powerSupply,1|4,2,696,696
x731,protectionArea,2|N,2,696,696
x731,spannung0_10v,NOVALUE,1,696,696
x731,spannung0_1v,NOVALUE,1,696,696
x731,spannungsEingaenge,NOVALUE,1,696,696
x731,steamApplication,NOVALUE,1,696,696
x731,stromAktiv,NOVALUE,1,696,696
x731,stromAktiv24,NOVALUE,1,696,696
x731,stromEingaenge,IS1|IS2|IS3|IS4|NOVALUE,5,696,696
x731,stromEingaengeExia,NOVALUE,1,696,696
x731,stromEingaenge_passiv,NOVALUE,1,696,696
x731,stromPassiv,NOVALUE,1,696,696
x731,stromPassivExib,NOVALUE,1,696,696
x731,stromSchaltbar,CS1|CS2|CS3|CS4|NOVALUE,5,696,696
x731,tagPlate,1|NOVALUE,2,696,696
x731,temperaturEingaenge,NOVALUE|TT1|TT2|TT3|TT4,5,696,696
x731,temperaturEingaengeExi,NOVALUE,1,696,696
x731,type,731,1,696,696
x731,waveInjector,FWI|FWY|NOVALUE,3,696,696
