package_context,characteristic,observed_values,observed_value_count,rule_occurrences,source_rows
F731TE,powerSupply,1|4,2,26,26
F731TE,protectionArea,2|N,2,26,26
F731TE,spannung0_10v,NOVALUE,1,26,26
F731TE,spannung0_1v,NOVALUE,1,26,26
F731TE,spannungsEingaenge,NOVALUE,1,26,26
F731TE,steamApplication,NOVALUE,1,26,26
F731TE,stromAktiv,NOVALUE,1,26,26
F731TE,stromAktiv24,NOVALUE,1,26,26
F731TE,stromEingaenge,NOVALUE,1,26,26
F731TE,stromEingaengeExia,NOVALUE,1,26,26
F731TE,stromEingaenge_passiv,NOVALUE,1,26,26
F731TE,stromPassiv,NOVALUE,1,26,26
F731TE,stromPassivExib,NOVALUE,1,26,26
F731TE,stromSchaltbar,CS2|CS3|CS4|NOVALUE,4,26,26
F731TE,tagPlate,1|NOVALUE,2,26,26
F731TE,temperaturEingaenge,TT2|TT4,2,26,26
F731TE,temperaturEingaengeExi,NOVALUE,1,26,26
F731TE,type,731,1,26,26
F731TE,waveInjector,NOVALUE,1,26,26
F731WD_DualChannel,OrgUnitAreaOfDocument,0|1|2|3,4,12,12
F731WD_DualChannel,StromPassivExia,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalOpenCollExia_MA,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalOpenColl_MN,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalOptoRelay,NOVALUE,1,12,12
F731WD_DualChannel,binaerDigitalReedRelay,NOVALUE,1,12,12
F731WD_DualChannel,binaerEingaenge,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenColl30v,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenCollExib,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenCollNamur,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenColl_BC,NOVALUE,1,12,12
F731WD_DualChannel,binaerOpenColl_MP,MP4|NOVALUE,2,12,12
F731WD_DualChannel,binaerOpenColl_SC,NOVALUE,1,12,12
F731WD_DualChannel,binaerOptoRelay_BO,NOVALUE,1,12,12
F731WD_DualChannel,binaerOptoRelay_SO,NOVALUE,1,12,12
F731WD_DualChannel,binaerReedRelay_BR,NOVALUE,1,12,12
F731WD_DualChannel,binaerReedRelay_SR,NOVALUE,1,12,12
F731WD_DualChannel,carryingCase,NOVALUE,1,12,12
F731WD_DualChannel,certification,CN|FN|NN|WN,4,12,12
F731WD_DualChannel,characteristic,WD,1,12,12
F731WD_DualChannel,customUserFluid,NOVALUE,1,12,12
F731WD_DualChannel,dataInterface,BM|BT|DB|FF|HS|MR|MT|NN|PA,9,12,12
F731WD_DualChannel,devCategory,F,1,12,12
F731WD_DualChannel,dev_advMeterVerification,1|NOVALUE,2,12,12
F731WD_DualChannel,dynamicGasMaster,NOVALUE,1,12,12
F731WD_DualChannel,explosionApproval,N,1,12,12
F731WD_DualChannel,frequenz0_5khzNamur,NOVALUE,1,12,12
F731WD_DualChannel,frequenz0_5khz_FC,NOVALUE,1,12,12
F731WD_DualChannel,frequenz0_5khz_FO,NOVALUE,1,12,12
F731WD_DualChannel,frequenz5_15HzExia,NOVALUE,1,12,12
F731WD_DualChannel,hardwareAP,NOVALUE,1,12,12
F731WD_DualChannel,housing,AL|ST,2,12,12
F731WD_DualChannel,inclusiveManual,QI,1,12,12
F731WD_DualChannel,installationsart,stationaer,1,12,12
F731WD_DualChannel,intrinsicSafety,N,1,12,12
F731WD_DualChannel,marke,flexim,1,12,12
F731WD_DualChannel,measuringTape,NOVALUE,1,12,12
F731WD_DualChannel,numberOfChannels,2,1,12,12
F731WD_DualChannel,packageFixed_dev,F731WD_DualChannel|NOVALUE,2,12,12
F731WD_DualChannel,powerCable,NOVALUE,1,12,12
F731WD_DualChannel,powerSupply,1|4,2,12,12
F731WD_DualChannel,protectionArea,N,1,12,12
