target_package,rfq_count,exact_top1_accuracy,mandatory_top1_accuracy,mandatory_preferred_top1_accuracy,mean_valid_configurations,median_valid_configurations,min_valid_configurations,max_valid_configurations,mean_package_configuration_rows,mean_unique_package_configurations
F731PW,116,0.9310344827586207,1.0,1.0,2.6724137931034484,2.0,1,15,121.0,15.0
F731TE,222,0.7747747747747747,1.0,1.0,2.490990990990991,2.0,1,15,218.0,30.0
F731WD_DualChannel,122,0.7131147540983607,1.0,1.0,3.4344262295081966,2.0,1,19,121.0,19.0
F731WD_SingleChannel,105,0.6952380952380952,1.0,1.0,2.857142857142857,2.0,1,10,97.0,10.0
G731CA,295,0.8542372881355932,1.0,1.0,3.3084745762711862,2.0,1,28,291.0,48.0
G731ST-HT,552,0.391304347826087,1.0,1.0,11.682971014492754,8.0,1,108,595.0,151.0
G731ST-LT,601,0.47420965058236275,1.0,1.0,12.32945091514143,8.0,1,153,595.0,153.0
G731VG,35,1.0,1.0,1.0,1.5714285714285714,1.0,1,4,49.0,4.0
x731,2952,0.4407181571815718,1.0,1.0,18.772357723577237,12.0,1,290,2913.0,1549.0
