record_type,rfq_count,exact_top1_accuracy,mandatory_top1_accuracy,mandatory_preferred_top1_accuracy,mean_valid_configurations,median_valid_configurations
DERIVED,3327,0.37781785392245265,1.0,1.0,17.444845205891195,11.0
OBSERVED,1673,0.7603108188882247,1.0,1.0,8.277943813508667,4.0
