package,target,generated,shortfall,attempts,acceptance_rate_percent,target_percentage,actual_percentage,difference_percentage_points
x731,2913,2679,234,75000,3.572,58.26,90.59857964152857,32.338579641528575
G731ST-HT,595,127,468,75000,0.16933333333333334,11.899999999999999,4.294893473114643,-7.605106526885356
G731ST-LT,595,127,468,75000,0.16933333333333334,11.899999999999999,4.294893473114643,-7.605106526885356
G731CA,291,24,267,75000,0.032,5.82,0.8116334122421373,-5.008366587757863
F731TE,218,0,218,0,0.0,4.36,0.0,-4.36
F731PW,121,0,121,0,0.0,2.42,0.0,-2.42
F731WD_DualChannel,121,0,121,0,0.0,2.42,0.0,-2.42
F731WD_SingleChannel,97,0,97,0,0.0,1.94,0.0,-1.94
G731VG,49,0,49,0,0.0,0.98,0.0,-0.98
