mode,package_aware,rfqs_evaluated,top1_accuracy,top3_accuracy,top5_accuracy,top10_accuracy,MRR,mean_true_rank,median_true_rank,unranked
V8_EXTRACTED,False,5000,0.1972,0.3438,0.4168,0.5226,0.307051463234823,52.5994,9.0,0
V8_EXTRACTED,True,5000,0.1994,0.3472,0.422,0.529,0.3104496359117225,38.857,9.0,0
ORACLE,False,5000,0.5058,0.7532,0.8602,0.9472,0.6531667443961212,3.1514,1.0,0
ORACLE,True,5000,0.5058,0.7532,0.8602,0.9472,0.6531667443961212,3.1514,1.0,0
