model_role,regime,model,top1,top3,top5,top10,mrr,ndcg5,interpretation
PRIMARY,REALISTIC_BASELINE,LOGISTIC_REGRESSION,0.9057377049180327,0.9986338797814208,1.0,1.0,0.951388888888889,0.9640426926681355,Best clean realistic-information model; recommended primary model.
SENSITIVITY,PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,0.9357923497267759,0.9986338797814208,1.0,1.0,0.9675546448087432,0.9760292967518585,Provenance-aware sensitivity analysis.
UPPER_BOUND,MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,0.9357923497267759,0.9986338797814208,1.0,1.0,0.9675546448087432,0.9760292967518585,Mechanistic upper bound; no gain over provenance-aware model.
