comparison,common_rfqs,observed_top1_difference,ci_low,ci_high,p_two_sided
PROVENANCE_AWARE/HIST_GRADIENT_BOOSTING minus REALISTIC_BASELINE/LOGISTIC_REGRESSION,732,0.030054644808743168,0.01639344262295082,0.04371584699453552,0.0
MECHANISTIC_UPPER_BOUND/HIST_GRADIENT_BOOSTING minus PROVENANCE_AWARE/HIST_GRADIENT_BOOSTING,732,0.0,0.0,0.0,1.0
MECHANISTIC_UPPER_BOUND/HIST_GRADIENT_BOOSTING minus REALISTIC_BASELINE/LOGISTIC_REGRESSION,732,0.030054644808743168,0.01639344262295082,0.04371584699453552,0.0
