regime,model,feature,importance,rank,abs_importance
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__source_frequency_score,0.8122843567718441,9,0.8122843567718441
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__nearest_real_distance,0.6993929301832852,10,0.6993929301832852
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__MODERATE,0.5829958399420011,11,0.5829958399420011
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.4203330021940561,12,0.4203330021940561
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__real_proximity_score,0.3496964650916426,13,0.3496964650916426
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__generation_method__REAL_OBSERVED,0.2510519747892731,14,0.2510519747892731
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__observed_configuration_score,0.2510519747892731,15,0.2510519747892731
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__record_type__DERIVED,0.2510519747892731,16,0.2510519747892731
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__record_type__OBSERVED,0.2510519747892731,17,0.2510519747892731
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__OBSERVED,0.2510519747892731,18,0.2510519747892731
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP4,0.1699024267180192,19,0.1699024267180192
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__evidence_level__VERY_STRONG,0.1692810274047889,20,0.1692810274047889
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS1,0.1555210101398611,21,0.1555210101398611
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS2,0.1404891740518364,22,0.1404891740518364
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP2,0.1387229570596202,23,0.1387229570596202
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.1380188182198236,24,0.1380188182198236
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.1258429812945748,25,0.1258429812945748
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.1139799197810932,26,0.1139799197810932
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__NOVALUE,0.1037350283043708,27,0.1037350283043708
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__1,0.1037350283043708,28,0.1037350283043708
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,DIFF__evidence_score_normalized,0.0867971193777649,29,0.0867971193777649
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP1,0.0828004501226945,30,0.0828004501226945
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__evidence_score,0.1826239678125093,1,0.1826239678125093
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__evidence_score_normalized,0.1641159387275458,2,0.1641159387275458
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__source_frequency,0.0972562581539299,3,0.0972562581539299
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__source_frequency_score,0.0958901909486933,4,0.0958901909486933
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__real_proximity_score,0.0883531715243244,5,0.0883531715243244
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__nearest_real_distance,0.0742231408935557,6,0.0742231408935557
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__low_change_score,0.0673757947684584,7,0.0673757947684584
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,DIFF__num_changed_characteristics,0.0632783571039286,8,0.0632783571039286
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__evidence_level__OBSERVED,0.0188668763148201,9,0.0188668763148201
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,CATDIFF__generation_method__ONE_CHARACTERISTIC,0.0186554502614755,10,0.0186554502614755
