source_id,target_id,relation,provenance,source,source_row,characteristic
CHAR_69bf39fdd46ac055,VAL_d9a9ed7deb43abb4,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_d9a9ed7deb43abb4,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,installationsart
CHAR_c8e821d556640fb6,VAL_a18211ef12f115d6,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_a18211ef12f115d6,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,devCategory
CHAR_1303c06b0b014d0c,VAL_d63a7323926a1147,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_d63a7323926a1147,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,type
CHAR_bd70eb35e7aa71d7,VAL_d00a50e0a7516c7a,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_d00a50e0a7516c7a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,characteristic
CHAR_d005d6c459a8a9f4,VAL_faa9d8774782e75a,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_faa9d8774782e75a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,housing
CHAR_e4cb0e4dd68ac771,VAL_6852a7db852ad36a,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_6852a7db852ad36a,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,powerSupply
CHAR_5fd9ac5fadf173ba,VAL_18f7bcd5389f8b4d,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_18f7bcd5389f8b4d,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,numberOfChannels
CHAR_263cc0d5c59b9181,VAL_43d4ee4dc051670b,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_43d4ee4dc051670b,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,explosionApproval
CHAR_c935032ed38f486c,VAL_479efaebf64c1e73,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_479efaebf64c1e73,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,protectionArea
CHAR_a41260c5e0184eb5,VAL_4aa6177c23e4da3c,HAS_VALUE,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,,
RULE_e201f0f8a3908b89,VAL_4aa6177c23e4da3c,RULE_SPECIFIES,OBSERVED_731,data/raw/x731_allgemein_Rev24.xlsx,1.0,intrinsicSafety
