comparison,common_rfqs,observed_top1_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_two_sided
PROVENANCE_AWARE HGB minus REALISTIC_BASELINE HGB,732,0.03415300546448088,0.01912568306010929,0.04918032786885246,0.0
MECHANISTIC_UPPER_BOUND HGB minus PROVENANCE_AWARE HGB,732,0.0,0.0,0.0,1.0
MECHANISTIC_UPPER_BOUND HGB minus REALISTIC_BASELINE HGB,732,0.03415300546448088,0.01912568306010929,0.04918032786885246,0.0
