regime,model,feature_count,numeric_feature_count,categorical_feature_count,train_rows,validation_rows,test_rows
REALISTIC_BASELINE,LOGISTIC_REGRESSION,22,6,16,12083,2598,2472
REALISTIC_BASELINE,RANDOM_FOREST,22,6,16,12083,2598,2472
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,22,6,16,12083,2598,2472
PROVENANCE_AWARE,LOGISTIC_REGRESSION,29,10,19,12083,2598,2472
PROVENANCE_AWARE,RANDOM_FOREST,29,10,19,12083,2598,2472
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,29,10,19,12083,2598,2472
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,35,16,19,12083,2598,2472
MECHANISTIC_UPPER_BOUND,RANDOM_FOREST,35,16,19,12083,2598,2472
MECHANISTIC_UPPER_BOUND,HIST_GRADIENT_BOOSTING,35,16,19,12083,2598,2472
