regime,model,transformed_feature,importance,absolute_importance,importance_type
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_characteristic_GP,-7.293612846091731,7.293612846091731,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_devCategory_G,-7.1408232527350455,7.1408232527350455,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_steamApplication_N,-5.940861300921011,5.940861300921011,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_devCategory_H,5.424167473490662,5.424167473490662,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_devCategory_S,5.379506677479113,5.379506677479113,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_steamApplication_H,4.282544334736258,4.282544334736258,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_waveInjector_NOVALUE,3.7983643277770267,3.7983643277770267,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_characteristic_WD,3.790127551540449,3.790127551540449,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_stromSchaltbar_CS1,3.206826095364959,3.206826095364959,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_waveInjector_FWI,-3.011068511355502,3.011068511355502,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_characteristic_CA,2.920524356306562,2.920524356306562,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_devCategory_F,-2.8755550818132347,2.8755550818132347,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_binaerOpenColl_MP_MP1,2.851391308265208,2.851391308265208,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_temperaturEingaenge_NOVALUE,-2.7303481103284817,2.7303481103284817,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_NOVALUE,-2.4839288004229783,2.4839288004229783,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_steamApplication_NOVALUE,2.4456127826062573,2.4456127826062573,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_customUserFluid_1,2.379920054014968,2.379920054014968,coefficient
REALISTIC_BASELINE,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN1,2.3664806896593276,2.3664806896593276,coefficient
