regime,model,base_feature,transformed_feature_count,total_absolute_importance,mean_absolute_importance,max_absolute_importance,importance_rank
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_certification_MN,1,5.287174986938338,5.287174986938338,5.287174986938338,1
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_powerSupply,1,3.890061889729525,3.890061889729525,3.890061889729525,2
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_certification_NN,1,2.782248851977519,2.782248851977519,2.782248851977519,3
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dataInterface_NN,1,2.5199194670213343,2.5199194670213343,2.5199194670213343,4
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_certification_CN,1,2.3748636687418188,2.3748636687418188,2.3748636687418188,5
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_ST,1,1.7607952765501576,1.7607952765501576,1.7607952765501576,6
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN2,1,1.711287019861408,1.711287019861408,1.711287019861408,7
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dataInterface_PA,1,1.685916896222188,1.685916896222188,1.685916896222188,8
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_steamApplication_NOVALUE,1,1.6307328103311258,1.6307328103311258,1.6307328103311258,9
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_PW,1,1.4816415895080948,1.4816415895080948,1.4816415895080948,10
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_stromSchaltbar_NOVALUE,1,1.4601854613721026,1.4601854613721026,1.4601854613721026,11
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_waveInjector_FWI,1,1.417659395367343,1.417659395367343,1.417659395367343,12
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_waveInjector_NOVALUE,1,1.2875969291483285,1.2875969291483285,1.2875969291483285,13
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,nearest_real_distance,1,1.2855691685279445,1.2855691685279445,1.2855691685279445,14
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,real_proximity_score,1,1.2855691685279445,1.2855691685279445,1.2855691685279445,15
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_stromSchaltbar_CS1,1,1.2674168247190345,1.2674168247190345,1.2674168247190345,16
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_steamApplication_N,1,1.252376722665184,1.252376722665184,1.252376722665184,17
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_characteristic_TE,1,1.1047302882902088,1.1047302882902088,1.1047302882902088,18
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_temperaturEingaenge_TT2,1,1.1047302882902088,1.1047302882902088,1.1047302882902088,19
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_dataInterface_MR,1,1.0885762394269938,1.0885762394269938,1.0885762394269938,20
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,source_frequency_score,1,1.0845731512904144,1.0845731512904144,1.0845731512904144,21
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,source_frequency,1,1.0845731512904142,1.0845731512904142,1.0845731512904142,22
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_stromEingaenge_NOVALUE,1,1.031285805463486,1.031285805463486,1.031285805463486,23
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN1,1,1.0240285697114873,1.0240285697114873,1.0240285697114873,24
MECHANISTIC_UPPER_BOUND,LOGISTIC_REGRESSION,config_temperaturEingaenge_TT1,1,1.0048789535272509,1.0048789535272509,1.0048789535272509,25
