comparison,common_rfqs,observed_top1_difference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p_two_sided
PROVENANCE_AWARE HGB minus REALISTIC_BASELINE HGB,732,0.03415300546448086,0.020491803278688523,0.04918032786885246,0.0
MECHANISTIC_UPPER_BOUND HGB minus PROVENANCE_AWARE HGB,732,0.0,0.0,0.0,2.0
MECHANISTIC_UPPER_BOUND HGB minus REALISTIC_BASELINE HGB,732,0.03415300546448086,0.020491803278688523,0.04918032786885246,0.0
