regime,model,feature,importance,rank
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__NOVALUE,0.02566666666666669,3
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.022800000000000004,4
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.015999999999999976,5
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__IS1,0.015733333333333377,6
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__1,0.007599999999999977,7
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.006666666666666672,8
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__1,0.006199999999999983,9
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__1,0.0025333333333333505,10
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__CS2,0.0010666666666666973,11
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromEingaenge__NOVALUE,0.001000000000000038,12
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_temperaturEingaenge__TT1,0.0009333333333333416,13
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_stromSchaltbar__NOVALUE,0.0002666666666666743,14
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP2,0.0,15
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.0,16
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,0.0,17
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_binaerOpenColl_MP__MP4,-6.666666666665932e-05,18
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_customUserFluid__NOVALUE,-0.00033333333333333365,19
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dynamicGasMaster__NOVALUE,-0.0008666666666666453,20
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,CATDIFF__config_dev_advMeterVerification__NOVALUE,-0.004999999999999967,21
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__DEPENDENCY_TWO_CHARACTERISTIC,9.383415265462832,1
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__ONE_CHARACTERISTIC,9.042248304105357,2
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__num_changed_characteristics,8.89987853445677,3
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__source_frequency,5.926775238654722,4
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__evidence_score,4.72686364202665,5
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__LOW,2.096504658730478,6
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__STRONG,1.8861854406252703,7
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__MODERATE,0.6226710642869676,8
PROVENANCE_AWARE,LOGISTIC_REGRESSION,DIFF__nearest_real_distance,0.46443694189617246,9
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.41235184618177123,10
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__VERY_STRONG,0.34116696135748703,11
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP4,0.22510910367432369,12
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS2,0.22212861197864045,13
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__CS1,0.20049223085034654,14
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP2,0.15367601227142935,15
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN2,0.15298635880685954,16
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__NOVALUE,0.14750829294698295,17
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__NOVALUE,0.1362449989606969,18
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__1,0.10517203896622256,19
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_customUserFluid__NOVALUE,0.10517203896622256,20
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__evidence_level__OBSERVED,0.07118488482428424,21
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__record_type__DERIVED,0.07118488482428424,22
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__generation_method__REAL_OBSERVED,0.07118488482428424,23
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__record_type__OBSERVED,0.07118488482428424,24
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__NOVALUE,0.06607443879838733,25
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dynamicGasMaster__1,0.06607443879838733,26
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerOpenColl_MP__MP1,0.06481190755780022,27
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__NOVALUE,0.05531299596116151,28
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_temperaturEingaenge__TT1,0.05531299596116151,29
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__1,0.048503110758274445,30
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_dev_advMeterVerification__NOVALUE,0.048503110758274445,31
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromEingaenge__NOVALUE,0.04465595724784562,32
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromEingaenge__IS1,0.04465595724784562,33
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_stromSchaltbar__NOVALUE,0.02163638112829468,34
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN4,0.0029804916956827267,35
PROVENANCE_AWARE,LOGISTIC_REGRESSION,CATDIFF__config_binaerDigitalOpenColl_MN__MN1,0.002497574164193989,36
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__evidence_score,0.2380694049335624,1
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__source_frequency,0.1720862466426043,2
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__nearest_real_distance,0.14500949046780762,3
PROVENANCE_AWARE,RANDOM_FOREST,DIFF__num_changed_characteristics,0.11324178161194552,4
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__REAL_OBSERVED,0.04423262087456299,5
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__record_type__DERIVED,0.044191916887929845,6
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__evidence_level__OBSERVED,0.04390786091278178,7
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__record_type__OBSERVED,0.04102469400821699,8
PROVENANCE_AWARE,RANDOM_FOREST,CATDIFF__generation_method__TWO_CHARACTERISTIC,0.029230034298815842,9
