regime,model,package,rfqs,top1,top3,top5,top10,mrr,ndcg5,candidate_rows,mean_candidates,median_candidates
PROVENANCE_AWARE,RANDOM_FOREST,G731ST-HT,86,0.8604651162790697,0.9883720930232558,1.0,1.0,0.9273255813953488,0.946173300550691,324,3.7674418604651163,3.0
PROVENANCE_AWARE,RANDOM_FOREST,X731,444,0.9099099099099099,0.9977477477477478,1.0,1.0,0.9532657657657657,0.9654147470419951,1667,3.7545045045045047,3.0
PROVENANCE_AWARE,RANDOM_FOREST,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,56,1.3658536585365855,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731WD_SINGLECHANNEL,14,1.0,1.0,1.0,1.0,1.0,1.0,20,1.4285714285714286,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731WD_DUALCHANNEL,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,35,1.4583333333333333,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,17,1.1333333333333333,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,32,1.3333333333333333,1.0
PROVENANCE_AWARE,RANDOM_FOREST,G731ST-LT,79,0.8734177215189873,1.0,1.0,1.0,0.9367088607594937,0.9532822472875261,316,4.0,4.0
PROVENANCE_AWARE,RANDOM_FOREST,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,G731ST-HT,86,0.8953488372093024,1.0,1.0,1.0,0.945736434108527,0.9598539305647867,324,3.7674418604651163,3.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,X731,444,0.9099099099099099,1.0,1.0,1.0,0.9542042042042042,0.9661606545849445,1667,3.7545045045045047,3.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,56,1.3658536585365855,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,F731WD_SINGLECHANNEL,14,1.0,1.0,1.0,1.0,1.0,1.0,20,1.4285714285714286,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,F731WD_DUALCHANNEL,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,35,1.4583333333333333,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,17,1.1333333333333333,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,32,1.3333333333333333,1.0
PROVENANCE_AWARE,HIST_GRADIENT_BOOSTING,G731ST-LT,79,0.9240506329113924,1.0,1.0,1.0,0.9620253164556962,0.9719693483725156,316,4.0,4.0
