regime,model,difficulty_bucket,rfqs,top1,top3,top5,top10,mrr,ndcg5,mean_true_rank,median_true_rank
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,3-5,208,0.8894230769230769,0.9951923076923077,1.0,1.0,0.9411057692307693,0.9563381820958227,1.1346153846153846,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,6-10,101,0.8613861386138614,1.0,1.0,1.0,0.9273927392739273,0.9462490796322524,1.1584158415841583,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,11-50,29,0.7586206896551724,1.0,1.0,1.0,0.8793103448275862,0.9109140784482829,1.2413793103448276,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,1,190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,2,204,0.8627450980392157,1.0,1.0,1.0,0.9313725490196079,0.9493432995098079,1.1372549019607843,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,3-5,208,0.8894230769230769,0.9951923076923077,1.0,1.0,0.9411057692307693,0.9563381820958227,1.1346153846153846,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,6-10,101,0.8712871287128713,1.0,1.0,1.0,0.9323432343234322,0.9499032404879806,1.1485148514851484,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,11-50,29,0.8275862068965517,1.0,1.0,1.0,0.9137931034482759,0.9363671988916307,1.1724137931034482,1.0
REALISTIC_BASELINE,RANDOM_FOREST,1,190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REALISTIC_BASELINE,RANDOM_FOREST,2,204,0.8627450980392157,1.0,1.0,1.0,0.9313725490196079,0.9493432995098079,1.1372549019607843,1.0
REALISTIC_BASELINE,RANDOM_FOREST,3-5,208,0.8894230769230769,0.9951923076923077,1.0,1.0,0.9411057692307693,0.9563381820958227,1.1346153846153846,1.0
REALISTIC_BASELINE,RANDOM_FOREST,6-10,101,0.8613861386138614,1.0,1.0,1.0,0.9273927392739273,0.9462490796322524,1.1584158415841583,1.0
REALISTIC_BASELINE,RANDOM_FOREST,11-50,29,0.6551724137931034,1.0,1.0,1.0,0.8275862068965517,0.8727343977832613,1.3448275862068966,1.0
