replicate,top1,mrr,ndcg5
0,0.9316939890710383,0.9658469945355191,0.9747902837138974
1,0.9412568306010929,0.9702868852459017,0.9780460740547468
2,0.9508196721311475,0.9754098360655737,0.9818490042740061
3,0.9316939890710383,0.9651639344262295,0.9742431438354874
4,0.9316939890710383,0.9655054644808743,0.9745167137746923
5,0.9439890710382514,0.9716530054644809,0.9790544627061908
6,0.9439890710382514,0.9716530054644809,0.9790544627061908
7,0.9275956284153005,0.9634562841530054,0.9730041307975262
8,0.9494535519125683,0.9747267759562842,0.981344809948284
9,0.9289617486338798,0.9637978142076503,0.9732347551840433
10,0.9207650273224044,0.9603825136612022,0.9707567291081209
11,0.9275956284153005,0.9634562841530054,0.9730041307975262
12,0.9426229508196722,0.9713114754098361,0.9788238383196738
13,0.9262295081967213,0.9627732240437158,0.9724999364718042
14,0.9398907103825137,0.9699453551912568,0.9778154496682298
15,0.9221311475409836,0.9600409836065574,0.9704402136162279
16,0.9316939890710383,0.9655054644808743,0.9745167137746925
17,0.9316939890710383,0.9658469945355191,0.9747902837138974
18,0.9221311475409836,0.960724043715847,0.970987353494638
19,0.9289617486338798,0.9644808743169399,0.9737818950624533
20,0.9385245901639344,0.9692622950819673,0.9773112553425076
21,0.9426229508196722,0.9713114754098361,0.9788238383196738
22,0.9193989071038251,0.9596994535519126,0.970252534782399
23,0.9453551912568307,0.9726775956284153,0.9798322269711178
24,0.9234972677595629,0.9614071038251366,0.9714915478203601
25,0.9562841530054644,0.9778005464480874,0.9835922116376894
26,0.9193989071038251,0.9596994535519126,0.9702525347823988
27,0.9316939890710383,0.9655054644808743,0.9745167137746923
28,0.9398907103825137,0.9699453551912568,0.9778154496682298
29,0.9398907103825137,0.9699453551912568,0.9778154496682298
30,0.9398907103825137,0.9692622950819673,0.9772683097898197
31,0.9330601092896175,0.9661885245901639,0.9750209081004144
32,0.9316939890710383,0.9658469945355191,0.9747902837138974
33,0.9439890710382514,0.9716530054644809,0.9790544627061908
34,0.9234972677595629,0.960724043715847,0.97094440794195
35,0.9439890710382514,0.9719945355191257,0.9793280326453959
36,0.9180327868852459,0.9583333333333334,0.9692012005782669
37,0.9521857923497268,0.9754098360655737,0.9818060587213183
38,0.9439890710382514,0.9713114754098361,0.9787808927669859
39,0.9385245901639344,0.9689207650273224,0.9770376854033027
40,0.9426229508196722,0.9709699453551912,0.9785502683804689
41,0.9426229508196722,0.9709699453551912,0.9785502683804689
42,0.9412568306010929,0.9706284153005464,0.9783196439939517
43,0.9385245901639344,0.9689207650273224,0.9770376854033027
44,0.9426229508196722,0.9709699453551912,0.9785502683804689
45,0.9275956284153005,0.9634562841530054,0.9730041307975262
46,0.9289617486338798,0.9641393442622951,0.9735083251232483
47,0.9289617486338798,0.9644808743169399,0.9737818950624533
48,0.9439890710382514,0.9716530054644809,0.9790544627061908
49,0.953551912568306,0.9764344262295082,0.9825838229862454
50,0.9262295081967213,0.9627732240437158,0.9724999364718041
51,0.930327868852459,0.9651639344262295,0.9742860893881753
52,0.9344262295081968,0.9661885245901639,0.9749779625477265
53,0.9330601092896175,0.9661885245901639,0.9750209081004144
54,0.9467213114754098,0.9730191256830601,0.9800628513576349
55,0.9193989071038251,0.9583333333333334,0.969158255025579
56,0.9412568306010929,0.9702868852459017,0.9780460740547468
57,0.9398907103825137,0.9689207650273224,0.9769947398506147
58,0.9289617486338798,0.9641393442622951,0.9735083251232481
59,0.9467213114754098,0.9733606557377049,0.98033642129684
60,0.9330601092896175,0.9661885245901639,0.9750209081004143
61,0.9494535519125683,0.9747267759562842,0.981344809948284
62,0.930327868852459,0.9644808743169399,0.9737389495097653
63,0.9385245901639344,0.9692622950819673,0.9773112553425076
64,0.9385245901639344,0.9692622950819673,0.9773112553425075
65,0.9412568306010929,0.9702868852459017,0.9780460740547465
66,0.930327868852459,0.9651639344262295,0.9742860893881753
